keys,ja,en,zh_CN,zh_TW,ko,ru
CARD_0039,無計画な素人なりの警戒。それでも、しないよりはましでしょう。,"The reckless caution of an amateur. Still, it is better than nothing.",毫无计划的外行式的警戒。即便如此，也总比什么都不做好吧。,毫無計畫、外行人式的警戒。儘管如此，總比什麼都不做來得好吧。,계획 없는 아마추어의 경계. 그래도 안하는 것보다는 낫겠죠.,"Ситуативная осторожность. Но лучше она, чем ничего."
草食ちゃん,草食ちゃん,Herbivore-chan,草食酱,草食醬,초식양,Травоядная
CARD_0041,1人では何もできない 怪異の影響2倍,Helpless alone. Anomaly x2.,独自一人什么也做不到。怪异影响翻倍。,獨自一人什麼也做不到。受到怪異影響翻倍。,혼자서는 아무것도 할 수 없다. 괴이의 영향 2배,В одиночку беспомощна. Влияние аномалий удвоено
CARD_0042,マンションの住人。肉食ちゃんと同居している。血まみれで倒れていた翌日に、普通に歩いていたという噂がある。,"A resident of the apartment complex. She lives with Carnivore-chan. Rumor has it that the day after she was found collapsed and covered in blood, she was seen walking around perfectly fine.",公寓的居民。和肉食酱同居。有传言说，在她浑身是血倒下的第二天，却像没事人一样在正常散步。,公寓的住戶。與肉食醬同居。據傳聞，曾經滿身是血地倒下，隔天卻又若無其事地走動著。,"아파트 주민. 육식양과 함께 살고 있다. 피투성이로 쓰러져 있던 다음 날, 아무렇지도 않게 걸어다니는 모습이 목격됐다는 소문이 있다.","Житель поместья. Сожительствует с Хищной. Ходят слухи, что на следующий день после того, как её нашли всю в крови, она ни в чём не бывало разгуливала на своих двоих"
CARD_0043,「草食ちゃん」と呼ばれている、なんらかの草食動物のフレンズには、探索の手助けを頼むことができます。普段は「肉食ちゃん」と呼ばれる肉食動物のフレンズと行動を共にしていますが、単独でいる場合は戦闘能力が低下します。もし協力を仰ぐ際は、肉食ちゃんとペアで依頼するのをおすすめします。やむを得ず草食ちゃんのみに依頼をする際は、無理のない範囲で支援を依頼するように心がけてください。,"You can ask for exploration assistance from a certain herbivorous Friend called ""Herbivore-chan."" She usually travels with a carnivorous Friend called ""Carnivore-chan,"" but her combat capability drops when she is alone. If you seek her cooperation, it is highly recommended to request them as a pair with Carnivore-chan. If you have no choice but to request Herbivore-chan alone, please make sure to only ask for support within a reasonable and safe range.",可以请求被称为“草食酱”的的某种草食动物朋友协助探索。她平时虽然与被称为“肉食酱”的肉食动物朋友一同行动，但在单独行动时战斗能力会下降。如果想请求协助，建议与肉食酱成对一起委托。在不得已只能委托草食酱一人时，请注意将支援请求控制在合理的范围内。,被稱為「草食醬」的某種草食動物Friends，可以請她幫忙協助探索。她平常會與被稱為「肉食醬」的肉食動物Friends一起行動，但若是單獨行動，戰鬥能力會下降。如果要請她協助，建議與肉食醬一起搭配委託。萬不得已只能單獨委託草食醬時，請務必在不勉強的範圍內請她支援。,"「초식양」라고 불리는 어떤 초식동물 프렌즈에게는 탐색 지원을 부탁할 수 있습니다. 평소에는 「육식양」라 불리는 육식동물 프렌즈와 함께 행동하고 있지만, 단독 행동 시에는 전투 능력이 크게 저하됩니다. 협력을 요청할 경우에는 가능하면 육식양와 함께 페어로 의뢰하는 것을 권장합니다. 부득이하게 초식양에게만 의뢰해야 할 때에는, 무리가 가지 않는 범위 내에서 지원을 부탁하도록 해 주세요.","Травоядная может помочь в исследовании. Обычно она действует вместе с Хищной, но будучи одной, она мало на что способна. Если вы хотите попросить у неё помощи, то лучше это делать в паре с Хищной. В ином случае старайтесь поручать ей задания в пределах её возможностей."
名もなきフレンズ,名もなきフレンズ,Nameless Friend,无名朋友,無名Friends,이름 없는 프렌즈,Безымянный друг
CARD_0045,名が無いだけの理由がある 怪異の影響2倍,Nameless for a reason. Anomaly x2.,无名自有其因。怪异影响翻倍。,沒有名字自然有著原因。受到怪異影響翻倍。,이름이 없는 데에는 그만한 이유가 있다 괴이의 영향 2배,"Есть причина, почему у него нет имени. Влияние аномалии удвоено"
CARD_0046,マンションの住人。興味本位で、何の対策もなしに居住階以外の階層を探索する。その代償は小さくはない。,"A resident of the apartment complex. Driven by pure curiosity, they explore floors other than their own without any preparation. The price they pay is not small.",公寓的住户。出于好奇，在毫无防备的情况下探索居住层以外的楼层。其付出的代价不可谓不小。,公寓的住戶。出於單純的好奇心，毫無對策地探索居住樓層以外的地方。為此付出的代價並不算小。,아파트 주민. 호기심만으로 아무런 대비도 없이 거주층 밖을 탐색하고 다닌다. 그 대가는 결코 가볍지 않다.,"Житель поместья. Из чистого любопытства исследует этажи, отличные от своего, при этом не предпринимая никаких мер предосторожности. Расплата за это оказывается немалой"
CARD_0047,このマンションには、たくさんのフレンズが居住しています。彼女らは探索者ではありませんが、単純な運搬などの作業を手伝ってもらうには有用でしょう。しかし、怪異に関する知識や複雑な状況判断能力は期待できません。協力を仰ぐ際は、具体的な指示を与え、複雑な判断は必ず自分で行うようにしてください。\n\n未整理ドキュメント：「フレンズ大移動」に関する現況と考察\n​1. サンドスターの出現と崩壊\n　ある時、原因不明の未知の物質「サンドスター」が世界各地にほぼ同時期に出現しました。サンドスターはアニマルガールを発生させ、周囲の気候を固定化しました。未知のエネルギーとして注目され、その性質が研究されはじめた矢先、一箇所を除いた全てのエリアでサンドスターの自己崩壊が始まりました。\n​2. フレンズの移動と「1種1体」の原則\n　崩壊エリアに元々発生していたアニマルガールたちは、本能的に健在なエリアを目指して移動を開始します。しかし、サンドスターの影響下を離れた長旅は困難を極め、多くの個体は道半ばで元の動物に戻ってしまいます。\n　興味深いのは、アニマルガールとしての個体が消失すると、別のサンドスターエリアに同種の個体が新たに発生する点です。これにより、世界全体で「1種につき1体」という存在の維持が保たれ、最終的には全種類のアニマルガールが、現在唯一残存するエリア（通称：パーク）へ集束していくと予測されています。\n　現在「パーク」は国連管理下の保護区として整備が進められており、将来の一般公開に向けたパーク名の公募も行われています。\n　ここまでが世間に広く知られている事実になります。\n​3. 特異点としての「マンション」\n　消えゆく運命にある日本のサンドスターエリアから、島国という地理的障壁を越えて遠く離れたパークへ到達するのは絶望的とされていたため、人里でアニマルガールが野生動物に戻った場合のリスク対処について話し合いが進んでいました。\n　しかし、ここで一つの特異点が発生します。サンドスターエリアではないはずのこのマンションが、なぜか移動先として認識されたのです。実際にマンションへ辿り着いたフレンズたちは、消滅することなくその姿を保っています。\n​4. 懸念される現状\n　マンションに留まれる以上、「パーク」に全種類が集まらない可能性が考えられましたが、本来の原則を破りマンションに住むのと同じ種の個体発生がパーク内に確認されました。マンションの存在はあまり公にできないこともあり、世間の認識は「日本のアニマルガールも移動中に消滅し、原則を以てパークに移動した」という事になっています。\n　マンションに身を寄せるフレンズたちは、本来あるべき循環や世界の繋がりから外れてしまったのではないか。そうした懸念を拭えずにいます。,"Many Friends reside in this apartment complex. Although they are not investigators, they can be useful for assisting with simple tasks such as transport. However, you cannot expect them to possess knowledge about Aberrations or the capacity for complex situational judgment. When requesting their cooperation, please provide concrete instructions and always handle complex decisions yourself.\n\nUnsorted Document: Current Status and Considerations Regarding the ""Friends Great Migration""\n1. Appearance and Collapse of Sandstar\n At one point, an unknown substance of unidentified origin called ""Sandstar"" appeared almost simultaneously across various regions of the world. Sandstar manifested Animal Girls and stabilized the surrounding climate. Just as it began to draw attention as a source of unknown energy and research into its properties commenced, the self-collapse of Sandstar began in all areas except for one single location.\n2. Migration of Friends and the ""One Individual Per Species"" Principle\n The Animal Girls who originally manifested in the collapsing areas instinctively began migrating toward the area that remained intact. However, a long journey away from the influence of Sandstar proved to be fraught with extreme difficulties, and many individuals reverted to their original animal forms midway through their journey.\n Intriguingly, when an individual completely vanishes as an Animal Girl, a new individual of the same species manifests in another Sandstar area. Because of this, the global existence of ""one individual per species"" is maintained, and it is predicted that all species of Animal Girls will ultimately converge upon the only currently remaining area (commonly known as ""the Park"").\n Currently, the ""Park"" is being developed as a sanctuary under United Nations administration, and a public appeal for the Park's official name is underway ahead of its future opening to the general public.\n These are the facts that are widely known to the public up to this point.\n3. The ""Apartment Complex"" as a Singularity\n Since it was deemed hopeless for Animal Girls to reach the distant Park from the fading Sandstar areas in Japan due to the geographical barrier of an island nation, discussions were underway regarding risk management in the event that Animal Girls reverted to wild animals in inhabited areas.\n However, a singularity occurred here. For some reason, this apartment complex—which should not even be a Sandstar area—was recognized as a migration destination. The Friends who actually managed to reach the apartment complex have maintained their forms without vanishing.\n4. Current Concerns\n As long as they could remain in the apartment complex, there was a possibility that all species would not gather in the ""Park."" However, breaking the original principle, the manifestation of individuals belonging to the exact same species as those living in the apartment complex has been confirmed within the Park. Partly because the existence of the apartment complex cannot be made public, the general public's perception is that ""the Animal Girls in Japan also vanished during migration and moved to the Park in accordance with the principle.""\n Have the Friends seeking refuge in this apartment complex been severed from the natural cycle and the connection of the world? We cannot shake off such concerns.",这栋公寓里居住着许多朋友。虽然她们不是探索者，但在协助进行单纯的搬运等工作时相当有用。不过，无法期待她们拥有关于怪异的知识或复杂的状况判断能力。在寻求协助时，请给予具体的指示，复杂的判断务必由您自己进行。\n\n未整理文献：关于“朋友大移动”的现状与考量\n1. 砂之星的出现与崩解\n 在某个时期，原因不明的未知物质“砂之星”几乎同时出现在世界各地。砂之星促成了动物女孩的诞生，并使周围的气候固定化。正当它作为未知能源受到瞩目、其性质刚开始投入研究之际，除了一个地方以外，所有区域的砂之星都开始了自我崩解。\n2. 朋友的移动与“1种1体”原则\n 原本诞生于崩解区域的动物女孩们，本能地开始向完好的区域移动。然而，脱离了砂之星影响范围的长途旅行极其艰难，许多个体在半途中就变回了原本的动物。\n 有趣的是，一旦作为动物女孩的个体消失，另一个砂之星区域就会重新诞生同种的个体。通过这种机制，维持了全球范围内“每种仅存在1体”的原则，并预测最终所有种类的动物女孩都将汇聚于目前唯一残存的区域（通称：公园）。\n 目前，“公园”作为联合国管辖下的保护区正在加紧建设中，为了将来的对公众开放，也在面向社会公开征集公园的名字。\n 以上便是广为人知的社会事实。\n3. 作为特异点的“公寓”\n 由于当时人们认为，日本的动物女孩要从注定消逝的砂之星区域出发，跨越岛国这一地理屏障到达遥远的公园是绝望般的难题，因此原本一直在商讨关于动物女孩在人类村落变回野生动物时的风险应对措施。\n 然而，在这里发生了一个特异点。这栋本不属于砂之星区域的公寓，不知为何竟被认知为了移动的目的地。实际上抵达公寓的朋友们，并没有消亡，而是保持着原本的姿态。\n4. 令人担忧的现状\n 既然能留在这栋公寓里，原本以为所有种类无法在“公园”集齐的可能性是存在的，但违反本来原则的是，公园内已经被确认诞生了与居住在公寓中的相同种类的个体。加之公寓的存在无法过多对外公开，世间的普遍认知便成了“日本的动物女孩也在移动过程中消亡，并基于原则移动到了公园”。\n 寄身于公寓的朋友们，是否已经脱离了本该存在的循环以及与世界的联系呢？这样的隐忧至今仍挥之不去。,這棟公寓裡，居住著許多Friends。她們雖然不是探索者，但對於搬運等單純的工作，請她們幫忙會很有用。不過，無法期待她們具備關於怪異的知識，或是複雜的狀況判斷能力。請求協助時，請給予具體的指示，複雜的判斷務必親自進行。\n\n未整理文件：關於「Friends大遷徙」的現況與考察\n​1. 砂之星的出現與崩潰\n　某個時期，原因不明的未知物質「砂之星」幾乎在同一時期出現於世界各地。砂之星會催生動物女孩，並使周遭氣候固定化。正當它作為未知能源備受矚目、性質剛開始展開研究之際，除了一處之外，所有區域的砂之星都開始了自我崩潰。\n​2. Friends的遷徙與「一種一體」原則\n　原本誕生於崩潰區域的動物女孩們，會本能地朝著仍然健在的區域展開遷徙。然而，離開砂之星影響範圍的長途旅行極為艱辛，許多個體都在途中變回了原本的動物。\n　有趣的是，當某個動物女孩個體消失時，另一個砂之星區域就會新誕生出同種的個體。藉此，全世界得以維持「每種一體」的存在原則，最終預測，所有種類的動物女孩都將匯聚到目前唯一殘存的區域（通稱：公園）。\n　目前「公園」正以聯合國管理下的保護區形式持續整備中，並已展開未來公開徵集公園名稱的活動，為日後對外開放做準備。\n　以上便是世間廣為人知的事實。\n​3. 作為特異點的「公寓」\n　由於命運注定走向消亡的日本砂之星區域，被島國這道地理屏障阻隔，要抵達遙遠的公園幾乎是絕望的，因此人們開始討論，當動物女孩在人類聚落附近變回野生動物時，該如何應對相關風險。\n　然而，就在此時發生了一個特異點。原本不應屬於砂之星區域的這棟公寓，不知為何竟被認定為遷徙的目的地。實際抵達公寓的Friends們，並未消失，依然保持著原本的姿態。\n​4. 令人擔憂的現況\n　既然她們能夠留在公寓裡，原本以為「公園」可能無法集齊所有種類，但後來卻確認到，打破了原本的原則，公寓裡居住的同種個體，竟也在公園內出現了。由於公寓的存在難以公開，世間普遍的認知是「日本的動物女孩們也在遷徙途中消失，依循原則移動到了公園」。\n　寄居在公寓裡的Friends們，是否已經脫離了本應遵循的循環與世界的連結呢？這份疑慮，始終無法被抹去。,"이 아파트에는 수많은 프렌즈들이 거주하고 있습니다. 그녀들은 탐색 전문가는 아니지만, 단순 운반 같은 작업을 도와주기에는 꽤 유용합니다. 다만 괴이에 대한 지식이나 복잡한 상황 판단 능력은 기대할 수 없습니다. 협력을 요청할 때에는 가능한 한 구체적으로 지시를 내리고, 중요한 판단은 반드시 직접 하도록 하세요.\n\n미정리 문서：「프렌즈 대이동」에 대한 현황과 고찰\n1. 샌드스타의 출현과 붕괴\n　어느 날, 원인 불명의 미지 물질 「샌드스타」가 세계 각지에 거의 동시에 출현했다. 샌드스타는 동물 소녀를 발생시키고, 주변 기후를 고정화시켰다. 미지의 에너지로 주목받으며 그 성질에 대한 연구가 시작되려던 찰나, 단 한 곳을 제외한 모든 에리어에서 샌드스타의 자기붕괴가 시작되었다.\n2. 프렌즈의 이동과 「1종 1개체」의 원칙\n　붕괴 에리어에서 원래 발생했던 동물 소녀들은 본능적으로 멀쩡한 에리어를 향해 이동하기 시작했다. 그러나 샌드스타의 영향권을 벗어난 상태로 이어지는 긴 여정은 극도로 험난했고, 많은 개체가 도중에 원래의 동물로 돌아가 버린다.\n　흥미로운 점은, 동물 소녀 개체가 소실되면 다른 샌드스타 에리어에서 같은 종의 개체가 새롭게 발생한다는 점이다. 이로 인해 세계 전체에서는 「1종당 1개체」라는 존재 원칙이 유지되고 있으며, 최종적으로는 모든 종류의 동물 소녀이 현재 유일하게 남아 있는 에리어(통칭：파크)로 집결할 것이라 예측되고 있다.\n　현재 「파크」는 UN 관리하의 보호구역으로 정비가 진행되고 있으며, 장래 일반 공개를 목표로 파크 명칭 공모도 이루어지고 있다.\n　여기까지가 세간에 널리 알려진 사실이다.\n3. 특이점으로서의 「아파트」\n　소멸을 앞둔 일본의 샌드스타 에리어에서, 섬나라라는 지리적 장벽을 넘어 멀리 떨어진 파크까지 도달하는 것은 절망적이라 여겨졌다. 때문에 인간 사회에서 동물 소녀가 야생동물로 돌아갔을 경우의 위험성과 대응 방안에 대한 논의가 진행되고 있었다。\n　하지만 여기서 하나의 특이점이 발생한다. 샌드스타 에리어가 아닐 터인 이 아파트가, 어째선지 이동 목적지로 인식되기 시작한 것이다. 실제로 아파트에 도착한 프렌즈들은 소멸하지 않은 채 그 모습을 유지하고 있다.\n4. 우려되는 현재 상황\n　아파트에 계속 머무를 수 있다면 「파크」에 모든 종류가 집결하지 않을 가능성이 제기되었지만, 본래의 원칙을 깨고 아파트에 거주하는 것과 동일 종의 개체 발생이 파크 내부에서 확인되었다. 아파트의 존재는 대외적으로 공개하기 어려운 만큼, 세간에는 「일본의 동물 소녀들도 이동 도중 소멸했고, 원칙에 따라 파크에서 다시 발생했다」고 알려져 있다.\n　아파트에 몸을 의탁한 프렌즈들은, 어쩌면 본래 있어야 할 순환과 세계의 연결에서 벗어나 버린 것은 아닐까. 그런 우려를 떨쳐낼 수가 없다.","В этом поместье проживает много Друзей. Они не являются исследователями, но могут быть полезны для помощи в простых работах, таких как переноска грузов. Однако не стоит ожидать от них знаний об аномалиях или способности оценивать сложные ситуации. Когда обращаетесь к ним за помощью, давайте конкретные указания и обязательно принимайте сложные решения самостоятельно.\n\nНесистематизированный документ: текущее состояние и размышления о «Великом переселении Друзей»\n​1. Появление и распад Сандастара\n　В некий момент почти одновременно по всему миру появилось неизвестное вещество неясного происхождения — «Сандастар». Сандастар порождал Девушек-животных и стабилизировал климат вокруг. Его начали изучать как загадочный источник энергии, но едва исследования начались, как во всех районах, кроме одного, Сандастар начал саморазрушаться.\n​2. Перемещение Друзей и принцип «один вид — одна особь»\n　Девушки-животные, изначально возникшие в зонах распада, инстинктивно начинают движение к сохранившимся зонам. Однако долгий путь за пределы влияния Сандастара чрезвычайно труден, и многие особи на полпути возвращаются в обычных животных.\n　Интересно, что когда исчезает особь в форме Девочки-животного, в другой зоне Сандастара заново возникает особь того же вида. Благодаря этому поддерживается существование «одной особи на один вид» во всём мире, и, как ожидается, в итоге все виды Девочек-животных сосредоточатся в единственной оставшейся зоне (так называемый «Парк»).\n　Сейчас «Парк» обустраивается как охраняемая территория под управлением ООН, также проводится открытый конкурс на название парка для будущего открытия для публики.\n　До этого момента — общеизвестные факты.\n​3. «Поместье» как сингулярность\n　Из исчезающих зон Сандастара в Японии достичь далёкого Парка, преодолев географический барьер островного государства, считалось безнадёжным, поэтому велись обсуждения мер по устранению рисков в случае, если Девушки-животные вблизи человеческих жилищ вернутся в диких животных.\n　Однако здесь возникает одна сингулярность. Это поместье, которое не должно было быть зоной Сандастара, по какой-то причине было распознано как место назначения. Друзья, добравшиеся до поместья, сохраняют свою форму, не исчезая."
サーバル似のフレンズ,サーバル似のフレンズ,Serval-like Friend,拟薮猫朋友,長得像藪貓的Friends,서벌을 닮은 프렌즈,"Друг, похожий на Сервала"
CARD_0049,サバンナを求め彷徨う,Seeking the Savanna.,寻找萨凡纳而彷徨。,尋找熱帶莽原而彷徨。,사바나를 찾아 방황한다.,Блуждает в поисках саванны
CARD_0050,とある階層で生まれ、何かの拍子に偽りの自我が目覚めたフレンズ。願いが叶うか命尽き果てるまでマンションを彷徨う。,"A Friend born on a certain floor who, by some twist of fate, awakened a false ego. She wanders the apartment complex until either her wish is granted or her life comes to an end.",在某个楼层诞生，因某种契机觉醒了虚假自我的朋友。在愿望实现或生命耗尽之前，她将一直在公寓中彷徨。,誕生於某個樓層、不知為何覺醒了虛假自我意識的Friends。她會在公寓裡徘徊，直到願望實現，或是生命耗盡為止。,"어느 계층에서 태어나, 우연한 계기로 거짓 자아가 깨어난 프렌즈. 소원이 이루어지거나 생명이 다할 때까지 아파트를 방황한다.","Друг, рождённая на одном из этажей, у которой при каком-то случайном стечении обстоятельств пробудилось ложное эго. Она бредёт по поместью, пока не исполнится её желание или пока не иссякнет её жизнь"
