"keys","ja","en","zh_CN","zh_TW","ko","ru"
"エレベーターに足を踏み入れた瞬間、二つの異変に気づいた。 見慣れたはずの壁の落書きが、跡形もなく消えている。 そして、先客がいた。その表情はよく見えない。","エレベーターに足を踏み入れた瞬間、二つの異変に気づいた。 見慣れたはずの壁の落書きが、跡形もなく消えている。 そして、先客がいた。その表情はよく見えない。","The moment I stepped into the elevator[COMMA] I noticed two things out of place. The graffiti on the wall[COMMA] which should have been a familiar sight by now[COMMA] had vanished without a trace. And there was someone already inside —  I could not quite make out her expression.","踏入电梯的瞬间，我注意到两个异常之处。原本应该很熟悉的墙上涂鸦，消失得一干二净。而且，里面已经有一位乘客了，我看不清楚对方的表情。","踏入電梯的瞬間，我注意到兩個異常之處。原本應該很熟悉的牆上塗鴉，消失得一乾二淨。而且，裡面已經有一位乘客了，我看不清楚對方的表情。","엘리베이터에 발을 들인 순간, 두 가지 위화감을 눈치챘다. 익숙할 터인 벽의 낙서가 흔적도 없이 사라져 있었다. 그리고 선객이 있었다. 그 표정은 잘 보이지 않는다.",""
"「探索者様ですね。何階をご利用ですか？」","「探索者様ですね。何階をご利用ですか？」","[DQUOT]Hello[COMMA] explorer. Which floor would you like?[DQUOT]","「您是探索者吧。请问要到第几层楼呢？」","「您是探索者吧。請問要到第幾層樓呢？」","「탐색자님이시군요. 몇 층으로 가시겠습니까?」",""
"それはエレベーターガールの姿をしていた。ただでさえ今はほぼ見ることの無い職種だが、[LF]マンションにエレベーターガールというのもより奇妙だ。[LF]冗談のつもりで、マンションを探索しなくても済むような階はないか聞いた。","それはエレベーターガールの姿をしていた。ただでさえ今はほぼ見ることの無い職種だが、[LF]マンションにエレベーターガールというのもより奇妙だ。[LF]冗談のつもりで、マンションを探索しなくても済むような階はないか聞いた。","[i]She[/i] looked like an elevator girl. In this day and age[COMMA] that is already a profession you almost never see anymore[LF] - having one in an apartment building is even more bizarre. [LF]Intended as a joke[COMMA] I asked her if there were any floor that would save me from having to explore this building anymore.","对方的模样是电梯小姐。在现代本来就几乎看不到这种职业了，[LF]而公寓里居然会有电梯小姐，这就更奇怪了。[LF]我半开玩笑地问她，有没有哪一层楼是不用探索公寓就能直接抵达的。","對方的模樣是電梯小姐。在現代本來就幾乎看不到這種職業了，[LF]而公寓裡居然會有電梯小姐，這就更奇怪了。[LF]我半開玩笑地問她，有沒有哪一層樓是不用探索公寓就能直接抵達的。","그건 엘리베이터 걸의 모습을 하고 있었다. 요즘엔 보기 힘든 직업이기도 하지만,[LF]아파트에 엘리베이터 걸이라니 더욱 기묘하다.[LF]농담 삼아, 굳이 탐색하지 않아도 될 만한 층은 없는지 물어보았다.",""
"「かしこまりました。」[LF]そういうとなんらかの階数を入力し、エレベーターは動き出した。","「かしこまりました。」[LF]そういうとなんらかの階数を入力し、エレベーターは動き出した。","[DQUOT]Certainly.[DQUOT] [LF]With that[COMMA] she entered some kind of floor number[COMMA] and the elevator began to move.","「明白了。」[LF]说完，她输入了某个楼层数字，电梯便开始移动。","「明白了。」[LF]說完，她輸入了某個樓層數字，電梯便開始移動。","「알겠습니다.」[LF]그렇게 말하더니 어딘가의 층수를 입력했고, 엘리베이터가 움직이기 시작했다.",""
"エレベーター内調査中...","エレベーター内調査中...","Investigating elevator interior...","电梯内调查中……","電梯內調查中……","엘리베이터 내부 조사 중...",""
"偽エレベーターガールがいる。[LF]背丈の小さい、カワウソ系のようなフレンズだ。[LF]エレベーターガールの制服が似合っておらず、真似事をしているとわかる。","偽エレベーターガールがいる。[LF]背丈の小さい、カワウソ系のようなフレンズだ。[LF]エレベーターガールの制服が似合っておらず、真似事をしているとわかる。","There is the [i]fake[/i] elevator girl here. [LF]She is a short[COMMA] otter-like Friend. [LF]The elevator-girl uniform doesn't suit her very well.","这里有一位假冒的电梯小姐。[LF]是一只身材矮小、水獭系的Friends。[LF]她身上的电梯小姐制服完全不合身，一看就知道只是在模仿而已。","這裡有一位假冒的電梯小姐。[LF]是一隻身材矮小、水獺系的Friends。[LF]她身上的電梯小姐制服完全不合身，一看就知道只是在模仿而已。","가짜 엘리베이터 걸이 있다.[LF]키가 작고 수달 같은 외모의 프렌즈다.[LF]엘리베이터 걸 제복이 전혀 어울리지 않아서 흉내 내고 있다는 게 티 난다.",""
"「あなたの望みの階は・・・ここですね！」","「あなたの望みの階は・・・ここですね！」","[DQUOT]Your desired floor... is right here![DQUOT]","「您所期望的楼层……就是这里了！」","「您所期望的樓層……就是這裡了！」","「원하시는 층은・・・ 여기군요！」",""
"[color=green]●デタラメに入力された階に連れていかれます。[/color][LF][color=green]　ただし、エレベーター酔いは発生しません。[/color]","[color=green]●デタラメに入力された階に連れていかれます。[/color][LF][color=green]　ただし、エレベーター酔いは発生しません。[/color]","[color=green] ● You will be taken to a randomly entered floor. [/color][LF][color=green]However[COMMA] you would feel no elevator sickness. [/color]","[color=green]●将会被带往随机输入的楼层。[/color][LF][color=green]　不过，不会发生电梯晕眩的情况。[/color]","[color=green]●將會被帶往隨機輸入的樓層。[/color][LF][color=green]　不過，不會發生電梯暈眩的情況。[/color]","[color=green]●엉터리로 입력된 층으로 이동하게 됩니다.[/color][LF][color=green]　다만, 엘리베이터 멀미는 발생하지 않습니다.[/color]",""
"別の探索者が記したと思われる階数情報が、エレベーターの壁にいくつか書かれている。","別の探索者が記したと思われる階数情報が、エレベーターの壁にいくつか書かれている。","Several floor-number notes[COMMA] seemingly written by other explorers[COMMA] are written across the elevator wall.","电梯墙上写著几笔楼层资讯，似乎是其他探索者留下的记录。","電梯牆上寫著幾筆樓層資訊，似乎是其他探索者留下的記錄。","다른 탐색자가 적어 놓은 것으로 보이는 층수 정보가, 엘리베이터 벽에 몇 군데 적혀 있다.",""
"[outline_size=8][outline_color=red]7-9-Е-Б→→[/outline_color][/outline_size]　＝　ENTRANCE←GOOD!←TRUE[LF][s][outline_size=8][outline_color=red]9-19-Ж↖←[/outline_color][/outline_size]　＝　STORE←HELL[/s][LF][outline_size=8][outline_color=red]В-5-В-А↑↓[/outline_color][/outline_size]　＝　DINER[LF][s][outline_size=8][outline_color=red]И-16-10-Г↗↘[/outline_color][/outline_size]　＝　PARKING←HELL[/s][LF][outline_size=8][outline_color=red]Ж-Е-7-Г↖→[/outline_color][/outline_size]　＝　おじぞうさま←SPEAK ENGLISH!!!","[outline_size=8][outline_color=red]7-9-Е-Б→→[/outline_color][/outline_size]　＝　ENTRANCE←GOOD!←TRUE[LF][s][outline_size=8][outline_color=red]9-19-Ж↖←[/outline_color][/outline_size]　＝　STORE←HELL[/s][LF][outline_size=8][outline_color=red]В-5-В-А↑↓[/outline_color][/outline_size]　＝　DINER[LF][s][outline_size=8][outline_color=red]И-16-10-Г↗↘[/outline_color][/outline_size]　＝　PARKING←HELL[/s][LF][outline_size=8][outline_color=red]Ж-Е-7-Г↖→[/outline_color][/outline_size]　＝　おじぞうさま←SPEAK ENGLISH!!!","[outline_size=8][outline_color=red]7-9-Е-Б→→[/outline_color][/outline_size]　=　ENTRANCE←GOOD!←TRUE[LF][s][outline_size=8][outline_color=red]9-19-Ж↖←[/outline_color][/outline_size]　=　STORE←HELL[/s][LF][outline_size=8][outline_color=red]В-5-В-А↑↓[/outline_color][/outline_size]　=　DINER[LF][s][outline_size=8][outline_color=red]И-16-10-Г↗↘[/outline_color][/outline_size]　=　PARKING←HELL[/s][LF][outline_size=8][outline_color=red]Ж-Е-7-Г↖→[/outline_color][/outline_size]　=　おじぞうさま←SPEAK ENGLISH!!!","[outline_size=8][outline_color=red]7-9-Е-Б→→[/outline_color][/outline_size]　＝　ENTRANCE←GOOD!←TRUE[LF][s][outline_size=8][outline_color=red]9-19-Ж↖←[/outline_color][/outline_size]　＝　STORE←HELL[/s][LF][outline_size=8][outline_color=red]В-5-В-А↑↓[/outline_color][/outline_size]　＝　DINER[LF][s][outline_size=8][outline_color=red]И-16-10-Г↗↘[/outline_color][/outline_size]　＝　PARKING←HELL[/s][LF][outline_size=8][outline_color=red]Ж-Е-7-Г↖→[/outline_color][/outline_size]　＝　おじぞうさま←SPEAK ENGLISH!!!","[outline_size=8][outline_color=red]7-9-Е-Б→→[/outline_color][/outline_size]　＝　ENTRANCE←GOOD!←TRUE[LF][s][outline_size=8][outline_color=red]9-19-Ж↖←[/outline_color][/outline_size]　＝　STORE←HELL[/s][LF][outline_size=8][outline_color=red]В-5-В-А↑↓[/outline_color][/outline_size]　＝　DINER[LF][s][outline_size=8][outline_color=red]И-16-10-Г↗↘[/outline_color][/outline_size]　＝　PARKING←HELL[/s][LF][outline_size=8][outline_color=red]Ж-Е-7-Г↖→[/outline_color][/outline_size]　＝　おじぞうさま←SPEAK ENGLISH!!!","[outline_size=8][outline_color=red]7-9-Е-Б→→[/outline_color][/outline_size]　＝　ENTRANCE←GOOD!←TRUE[LF][s][outline_size=8][outline_color=red]9-19-Ж↖←[/outline_color][/outline_size]　＝　STORE←HELL[/s][LF][outline_size=8][outline_color=red]В-5-В-А↑↓[/outline_color][/outline_size]　＝　DINER[LF][s][outline_size=8][outline_color=red]И-16-10-Г↗↘[/outline_color][/outline_size]　＝　PARKING←HELL[/s][LF][outline_size=8][outline_color=red]Ж-Е-7-Г↖→[/outline_color][/outline_size]　＝　지장보살님←SPEAK ENGLISH!!!","[outline_size=8][outline_color=red]7-9-Е-Б→→[/outline_color][/outline_size]　＝　ENTRANCE←GOOD!←TRUE[LF][s][outline_size=8][outline_color=red]9-19-Ж↖←[/outline_color][/outline_size]　＝　STORE←HELL[/s][LF][outline_size=8][outline_color=red]В-5-В-А↑↓[/outline_color][/outline_size]　＝　DINER[LF][s][outline_size=8][outline_color=red]И-16-10-Г↗↘[/outline_color][/outline_size]　＝　PARKING←HELL[/s][LF][outline_size=8][outline_color=red]Ж-Е-7-Г↖→[/outline_color][/outline_size]　＝　おじぞうさま←SPEAK ENGLISH!!!"
"[s][outline_size=8][outline_color=red]А-Г-14-Ж-１-Ж-8-8-Е↓↑[/outline_color][/outline_size]　＝　(判別できない文字)[/s]←WHO THE FUCK WROTE THIS??[LF][outline_size=8][outline_color=red]Д-Д-В-А↓→[/outline_color][/outline_size]　＝　[s]HOSPITAL[/s][LF][outline_size=8][outline_color=red]16-6-7-2↑↓[/outline_color][/outline_size]　＝　CHURCH[LF][outline_size=8][outline_color=red]2-2-А-Е→→[/outline_color][/outline_size]　＝　[s]BASEMENT[/s]","[s][outline_size=8][outline_color=red]А-Г-14-Ж-１-Ж-8-8-Е↓↑[/outline_color][/outline_size]　＝　(判別できない文字)[/s]←WHO THE FUCK WROTE THIS??[LF][outline_size=8][outline_color=red]Д-Д-В-А↓→[/outline_color][/outline_size]　＝　[s]HOSPITAL[/s][LF][outline_size=8][outline_color=red]16-6-7-2↑↓[/outline_color][/outline_size]　＝　CHURCH[LF][outline_size=8][outline_color=red]2-2-А-Е→→[/outline_color][/outline_size]　＝　[s]BASEMENT[/s]","[s][outline_size=8][outline_color=red]А-Г-14-Ж-１-Ж-8-8-Е↓↑[/outline_color][/outline_size]　=　[i](illegible)[/i][/s]←WHO THE FUCK WROTE THIS??[LF][outline_size=8][outline_color=red]Д-Д-В-А↓→[/outline_color][/outline_size]　=　[s]HOSPITAL[/s][LF][outline_size=8][outline_color=red]16-6-7-2↑↓[/outline_color][/outline_size]　=　CHURCH[LF][outline_size=8][outline_color=red]2-2-А-Е→→[/outline_color][/outline_size]　=　[s]BASEMENT[/s]","[s][outline_size=8][outline_color=red]А-Г-14-Ж-１-Ж-8-8-Е↓↑[/outline_color][/outline_size]　＝　(判別できない文字)[/s]←WHO THE FUCK WROTE THIS??[LF][outline_size=8][outline_color=red]Д-Д-В-А↓→[/outline_color][/outline_size]　＝　[s]HOSPITAL[/s][LF][outline_size=8][outline_color=red]16-6-7-2↑↓[/outline_color][/outline_size]　＝　CHURCH[LF][outline_size=8][outline_color=red]2-2-А-Е→→[/outline_color][/outline_size]　＝　[s]BASEMENT[/s]","[s][outline_size=8][outline_color=red]А-Г-14-Ж-１-Ж-8-8-Е↓↑[/outline_color][/outline_size]　＝　(判別できない文字)[/s]←WHO THE FUCK WROTE THIS??[LF][outline_size=8][outline_color=red]Д-Д-В-А↓→[/outline_color][/outline_size]　＝　[s]HOSPITAL[/s][LF][outline_size=8][outline_color=red]16-6-7-2↑↓[/outline_color][/outline_size]　＝　CHURCH[LF][outline_size=8][outline_color=red]2-2-А-Е→→[/outline_color][/outline_size]　＝　[s]BASEMENT[/s]","[s][outline_size=8][outline_color=red]А-Г-14-Ж-１-Ж-8-8-Е↓↑[/outline_color][/outline_size]　＝　(알 수 없는 문자)[/s]←WHO THE FUCK WROTE THIS??[LF][outline_size=8][outline_color=red]Д-Д-В-А↓→[/outline_color][/outline_size]　＝　[s]HOSPITAL[/s][LF][outline_size=8][outline_color=red]16-6-7-2↑↓[/outline_color][/outline_size]　＝　CHURCH[LF][outline_size=8][outline_color=red]2-2-А-Е→→[/outline_color][/outline_size]　＝　[s]BASEMENT[/s]","[s][outline_size=8][outline_color=red]А-Г-14-Ж-１-Ж-8-8-Е↓↑[/outline_color][/outline_size]　＝　(判別できない文字)[/s]←WHO THE FUCK WROTE THIS??[LF][outline_size=8][outline_color=red]Д-Д-В-А↓→[/outline_color][/outline_size]　＝　[s]HOSPITAL[/s][LF][outline_size=8][outline_color=red]16-6-7-2↑↓[/outline_color][/outline_size]　＝　CHURCH[LF][outline_size=8][outline_color=red]2-2-А-Е→→[/outline_color][/outline_size]　＝　[s]BASEMENT[/s]"
